country,city
FRANCE,VILLARDONNEL
ITALY,CREMA
ITALY,BORGO A MOZZANO
PORTUGAL,VILA FRANCA DE XIRA
CZECH REPUBLIC,MAJDALENA
GERMANY,DIEDORF
TURKEY,DURSUNBEY
ITALY,VEJANO
CZECH REPUBLIC,KRASLICE
CZECH REPUBLIC,JAKUBOV
CZECH REPUBLIC,BERNARTICE
SPAIN,ESPLUGUES DE LLOBREGAT
ITALY,MADESIMO
ITALY,STAZZANO
ITALY,SAN COSTANZO
ITALY,SANTA MARINELLA
ITALY,CLAVESANA
ITALY,CANNOBIO
SPAIN,VILAVERD
GERMANY,NEUKIRCHEN
FRANCE,GRIMAUD
ITALY,ALBA
GERMANY,VILLINGEN-SCHWENNINGEN
SPAIN,SANT ANTONI DE CALONGE
TURKEY,GIRESUN
GERMANY,PFRONTEN
ITALY,BICCARI
ITALY,MORBEGNO
FRANCE,VILLEDAIGNE
ITALY,CAMPO DI TRENS
ITALY,CAPALBIO
ITALY,CRESCENTINO
TURKEY,KALKANDERE
ITALY,PIETRALUNGA
ITALY,VAGLIA
TURKEY,BOLU
FRANCE,ARLES
ITALY,ALBIGNASEGO
TURKEY,BEYPAZARI
TURKEY,OSMANIYE
FRANCE,TANNERON
ITALY,CAMPOROSSO
SPAIN,BOTARELL
TURKEY,SIVAS
PORTUGAL,AMADORA
TURKEY,SORGUN
TURKEY,YAHYALI
CZECH REPUBLIC,JIRKOV
ITALY,NARZOLE
PORTUGAL,MONTEMOR-O-NOVO
TURKEY,CEYLANPINAR
PORTUGAL,SERPA
TURKEY,KARACASU
TURKEY,BITLIS
FRANCE,FITOU
TURKEY,TUZLUCA
ITALY,RENDE
SPAIN,MASARAC
FRANCE,NEVIAN
SPAIN,FELANITX
ITALY,SAN GIULIANO TERME
SPAIN,JORBA
ITALY,PATTADA
ITALY,BITTI
ITALY,PISTICCI
ITALY,VENTIMIGLIA
ITALY,CROTONE
CZECH REPUBLIC,KRNOV
CZECH REPUBLIC,KOJICE
PORTUGAL,MOURA
SPAIN,SON SERVERA
ITALY,VARAPODIO
ITALY,MAZZIN
ITALY,GENOVA
GERMANY,BRUTTIG-FANKEL
ITALY,DONNAS
ITALY,FILOTTRANO
FRANCE,GIGONDAS
ITALY,GELA
ITALY,CAPOTERRA
GERMANY,KARLSRUHE
FRANCE,CABASSE
TURKEY,FINDIKLI
FRANCE,PORTIRAGNES
ITALY,URAS
ITALY,VILLAGRANDE STRISAILI
FRANCE,LE TEIL
GERMANY,ESCHELBRONN
UNITED KINGDOM,EXETER
FRANCE,LABEGUDE
ITALY,MONTEROSSO AL MARE
TURKEY,TERCAN
ITALY,GAETA
ITALY,BARI
ITALY,RE
ITALY,ASSORO
SPAIN,CALDERS
GERMANY,DESSAU
ITALY,MONCHIERO
CZECH REPUBLIC,OSTRAVICE
FRANCE,ROGNAC
FRANCE,BRIGNON
ITALY,CASTELLAMMARE DEL GOLFO
ITALY,MATERA
ITALY,GRAZZANISE
FRANCE,SARDAN
ITALY,MONTENERO DI BISACCIA
FRANCE,RENNES LES BAINS
ITALY,PADRU
TURKEY,ERUH
SPAIN,LA POBLA DE MAFUMET
ITALY,SAN PAOLO DI CIVITATE
UNITED KINGDOM,NORTHAMPTON
ITALY,COSTA VOLPINO
FRANCE,SARRAS
TURKEY,ARGUVAN
ITALY,VILLAPUTZU
SPAIN,SOLSONA
ITALY,BORGHETTO DI VARA
FRANCE,VERS PONT DU GARD
TURKEY,GEBZE
ITALY,TERME VIGLIATORE
ITALY,ACIREALE
TURKEY,SARAY
SPAIN,TORRELLES DE LLOBREGAT
FRANCE,DOMAZAN
TURKEY,BULANCAK
CZECH REPUBLIC,CRHOV
ITALY,MORINO
CZECH REPUBLIC,DVORCE
FRANCE,GALARGUES
TURKEY,KUYUCAK
CZECH REPUBLIC,RUDA NAD MORAVOU
ITALY,CASTELLANETA
ITALY,VICARI
SPAIN,CALDES DE MONTBUI
ITALY,ENNA
GERMANY,LAUF
FRANCE,SEGURET
ITALY,ACI CATENA
FRANCE,VENASQUE
FRANCE,LA MARTRE
ITALY,CORIGLIANO CALABRO
PORTUGAL,CASTRO VERDE
ITALY,GIARRE
FRANCE,FERRALS LES CORBIERES
PORTUGAL,LOURES
FRANCE,BAGNOLS SUR CEZE
TURKEY,BALYA
GERMANY,FELDATAL
FRANCE,RIVESALTES
ITALY,CALASETTA
TURKEY,TURHAL
TURKEY,ULUBEY
ITALY,OSTRA VETERE
CZECH REPUBLIC,PRAHA
ITALY,CAMPIGLIA CERVO
TURKEY,BAFRA
CZECH REPUBLIC,OSKAVA
UNITED KINGDOM,CARDIFF
PORTUGAL,ALJUSTREL
ITALY,GROTTE
TURKEY,MANAVGAT
ITALY,SERAVEZZA
ITALY,BOGLIASCO
ITALY,SANTA MARIA DELLA VERSA
UNITED KINGDOM,DAVENTRY
ITALY,ATRANI
SPAIN,ABRERA
ITALY,MELICUCCO
ITALY,VERNAZZA
TURKEY,GEYVE
TURKEY,HAVSA
TURKEY,CEYHAN
ITALY,RIVA LIGURE
TURKEY,SARIKAYA
GERMANY,WAIBLINGEN
ITALY,PEROSA ARGENTINA
TURKEY,BULANIK
TURKEY,KIRKLARELI
FRANCE,NIMES
UNITED KINGDOM,MANCHESTER
FRANCE,FABREGUES
SPAIN,MIERES
ITALY,FARIGLIANO
CZECH REPUBLIC,BUKOVEC
ITALY,ROMA
FRANCE,LE MUY
FRANCE,LES AIRES
GERMANY,STAFFELSTEIN
GERMANY,WIETZE
SPAIN,GRANOLLERS
TURKEY,TARSUS
ITALY,SCIACCA
TURKEY,KULP
SPAIN,ROQUETES
ITALY,CALTAVUTURO
TURKEY,PAZAR
UNITED KINGDOM,BEDFORD
GERMANY,SCHLITZ
FRANCE,FLAYOSC
CZECH REPUBLIC,CERHENICE
CZECH REPUBLIC,ALBRECHTICE
SPAIN,VILASSAR DE MAR
CZECH REPUBLIC,RALSKO
TURKEY,BARTIN
FRANCE,AIMARGUES
PORTUGAL,POMBAL
ITALY,GRAVINA IN PUGLIA
FRANCE,AIGUEZE
FRANCE,LEZIGNAN CORBIERES
TURKEY,KULU
ITALY,MARSCIANO
SPAIN,OLOT
FRANCE,MIALET
ITALY,CHIAVARI
ITALY,ALESSANDRIA
ITALY,MONZA
SPAIN,LLEIDA
ITALY,MALESCO
TURKEY,BAYKAN
FRANCE,VILLENEUVE MINERVOIS
UNITED KINGDOM,MATLOCK
ITALY,CIVITAVECCHIA
FRANCE,LANGLADE
GREECE,RHODES
TURKEY,AKSU
TURKEY,SULUOVA
FRANCE,CARCASSONNE
TURKEY,TONYA
PORTUGAL,MAFRA
ITALY,CATANIA
TURKEY,KUMLUCA
ITALY,CASSANO DELLE MURGE
CZECH REPUBLIC,LUKA NAD JIHLAVOU
UNITED KINGDOM,YSTRADGYNLAIS
CZECH REPUBLIC,KRHANICE
CZECH REPUBLIC,KAPLICE
FRANCE,PUISSERGUIER
SPAIN,GIRONA
ITALY,CASTRONNO
TURKEY,KOZLUK
FRANCE,MANDELIEU LA NAPOULE
FRANCE,VEZENOBRES
GERMANY,SCHORNDORF
TURKEY,KARAYAZI
ITALY,MONTEVARCHI
ITALY,PIAZZATORRE
TURKEY,KONAK
ITALY,POGGIO IMPERIALE
ITALY,SEZZADIO
FRANCE,ANTIBES
FRANCE,THEZA
ITALY,ORIOLO ROMANO
TURKEY,YOZGAT
ITALY,CHIUSA DI PESIO
CZECH REPUBLIC,FRANCOVA LHOTA
FRANCE,ARAMON
FRANCE,COURSAN
GREECE,SERRES
FRANCE,BEAUMES DE VENISE
FRANCE,ROQUEBRUNE SUR ARGENS
FRANCE,VAISON LA ROMAINE
TURKEY,SUNGURLU
TURKEY,YOMRA
GERMANY,MESCHEDE
ITALY,DEIVA MARINA
ITALY,LUVINATE
ITALY,TORINO
ITALY,CANELLI
ITALY,MEZZOLDO
ITALY,SAN PIETRO LAMETINO
SPAIN,GODALL
GERMANY,BAD URACH
TURKEY,KORGAN
FRANCE,QUISSAC
TURKEY,OF
CYPRUS,NICOSIA
ITALY,VARALLO
FRANCE,CHUSCLAN
ITALY,TARVISIO
ITALY,ARZACHENA
CZECH REPUBLIC,RASPENAVA
FRANCE,ESTAGEL
ITALY,LIVORNO
FRANCE,VILLALIER
SPAIN,VIC
GERMANY,KOBLENZ
CZECH REPUBLIC,TROUBKY
ITALY,CASTELLAMONTE
FRANCE,ARLEBOSC
ITALY,NOVELLO
FRANCE,COGOLIN
ITALY,CALDOGNO
ITALY,FIRENZE
FRANCE,AUBIGNAN
FRANCE,PUISSALICON
CZECH REPUBLIC,KAROLINKA
PORTUGAL,GONDOMAR
ITALY,LETOJANNI
ITALY,CARPINO
FRANCE,LATTES
ITALY,BOLSENA
ITALY,SALA BAGANZA
ITALY,MESSINA
PORTUGAL,PENAFIEL
ITALY,PIETRASANTA
FRANCE,FLORENSAC
ITALY,SALA BOLOGNESE
CZECH REPUBLIC,LINDAVA
FRANCE,BANDOL
GERMANY,CHAM
FRANCE,CANNES
SPAIN,CANOVELLES
FRANCE,LE LUC
ITALY,SOVERATO
TURKEY,DEVREK
ITALY,FALCADE
CZECH REPUBLIC,OSTROVEC
TURKEY,ARTVIN
ITALY,SANT'ELPIDIO A MARE
TURKEY,KANDIRA
ITALY,FIUMICINO
GERMANY,SCHWARZENBACH
TURKEY,KARASU
ITALY,CORCIANO
ITALY,SANTENA
ITALY,CARASCO
ITALY,OLIENA
TURKEY,ILGIN
PORTUGAL,BRAGA
CZECH REPUBLIC,KRALUPY NAD VLTAVOU
ITALY,BETTOLA
GERMANY,FREITAL
FRANCE,PALAJA
ITALY,PESCHICI
ITALY,MASSA MARITTIMA
CZECH REPUBLIC,KOUNOV
FRANCE,FREJUS
UNITED KINGDOM,GLOUCESTER
FRANCE,ORANGE
FRANCE,BUIS LES BARONNIES
PORTUGAL,ESTARREJA
TURKEY,KARS
ITALY,CIVITA
ITALY,CORMONS
PORTUGAL,OURIQUE
GERMANY,TORGAU
SPAIN,CAMBRILS
UNITED KINGDOM,TENBURY WELLS
ITALY,MANCIANO
ITALY,REGGIO CALABRIA
PORTUGAL,OVAR
ITALY,AOSTA
UNITED KINGDOM,WINCHESTER
SPAIN,OLIANA
ITALY,CASTELNUOVO DI VAL DI CECINA
SPAIN,SANT JAUME DE LLIERCA
ITALY,TORRE DEL GRECO
ITALY,GENZANO DI LUCANIA
PORTUGAL,ABRANTES
TURKEY,ULUS
SPAIN,ARENYS DE MUNT
UNITED KINGDOM,DONCASTER
FRANCE,MONTPELLIER
UNITED KINGDOM,BIRMINGHAM
TURKEY,GERZE
TURKEY,ARTOVA
PORTUGAL,CARTAXO
ITALY,BANCHETTE
UNITED KINGDOM,TEWKESBURY
PORTUGAL,CASCAIS
ITALY,ROCCAVIONE
ITALY,LAVAGNO
GERMANY,ERLANGEN
FRANCE,AIX EN PROVENCE
TURKEY,BALA
CZECH REPUBLIC,HERBERTOV
CZECH REPUBLIC,KARLOVICE
GERMANY,SCHNAITTENBACH
PORTUGAL,SILVES
GERMANY,HECHINGEN
ITALY,PIOZZO
TURKEY,HAVZA
SPAIN,TERRASSA
TURKEY,BOZOVA
FRANCE,CRUVIERS LASCOURS
TURKEY,PATNOS
ITALY,CORDENONS
GERMANY,EBNATH
ITALY,VALLECROSIA
TURKEY,KIRIKHAN
